course_code,course_name,section_number,course_type,course_hours,course_gender,course_day,course_time,final_exam_day,final_exam_date,final_exam_time,lecturer
227 عال,نظم التشغيل,12320,محاضرة,3,ذكر,"['2', '24']","['08:00-09:05', '09:15-10:20']",3,1444-11-24,01:00 م - 04:00 م,['مجدل سلطان مجدل بن سفران']
227 عال,نظم التشغيل,12321,تمارين,ذكر,مغلقة,['4'],['08:00-09:05'],---,---,---,['مجدل سلطان مجدل بن سفران']
227 عال,نظم التشغيل,12328,محاضرة,3,ذكر,"['1', '13']","['08:00-09:05', '09:15-10:20']",3,1444-11-24,01:00 م - 04:00 م,['محمد جاويد يوسف']
227 عال,نظم التشغيل,12329,تمارين,ذكر,مغلقة,['3'],['08:00-09:05'],---,---,---,['محمد جاويد يوسف']
227 عال,نظم التشغيل,35605,محاضرة,3,ذكر,"['4', '24']","['08:00-09:05', '09:15-10:20']",3,1444-11-24,01:00 م - 04:00 م,['فواز عبدالعزيز عبدالله السليمان']
227 عال,نظم التشغيل,35606,تمارين,ذكر,مغلقة,['2'],['08:00-09:05'],---,---,---,['محمد جاويد يوسف']
227 عال,نظم التشغيل,81787,محاضرة,3,ذكر,['135'],['09:15-10:20'],3,1444-11-24,01:00 م - 04:00 م,['احمد جعفر الفنوش الشبلي']
227 عال,نظم التشغيل,81788,تمارين,ذكر,مغلقة,['3'],['11:45-12:50'],---,---,---,['احمد جعفر الفنوش الشبلي']
227 عال,نظم التشغيل,81901,محاضرة,3,ذكر,"['2', '24']","['10:30-11:35', '11:45-12:50']",3,1444-11-24,01:00 م - 04:00 م,['فواز عبدالعزيز عبدالله السليمان']
227 عال,نظم التشغيل,81902,تمارين,ذكر,مغلقة,['4'],['10:30-11:35'],---,---,---,['محمد جاويد يوسف']
227 عال,نظم التشغيل,85788,محاضرة,3,ذكر,"['24', '4']","['10:30-11:35', '11:45-12:50']",3,1444-11-24,01:00 م - 04:00 م,['مجدل سلطان مجدل بن سفران']
227 عال,نظم التشغيل,85789,تمارين,ذكر,مغلقة,['2'],['11:45-12:50'],---,---,---,['مجدل سلطان مجدل بن سفران']
227 عال,نظم التشغيل,85790,محاضرة,3,ذكر,['135'],['10:30-11:35'],3,1444-11-24,01:00 م - 04:00 م,['محمد جاويد يوسف']
227 عال,نظم التشغيل,85791,تمارين,ذكر,مفتوحة,['3'],['11:45-12:50'],---,---,---,['محمد جاويد يوسف']
204 ريض,المعادلات التفاضلية,5522,محاضرة,3,ذكر,['135'],['08:00-09:05'],5,1444-11-26,01:00 م - 04:00 م,['الحسين على محمد قديرى']
204 ريض,المعادلات التفاضلية,5526,تمارين,ذكر,مغلقة,"['1', '1']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
204 ريض,المعادلات التفاضلية,5541,محاضرة,3,ذكر,['135'],['09:15-10:20'],5,1444-11-26,01:00 م - 04:00 م,['شايع وقيان زيد الدوسري']
204 ريض,المعادلات التفاضلية,5545,تمارين,ذكر,مغلقة,"['3', '3']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
204 ريض,المعادلات التفاضلية,5552,محاضرة,3,ذكر,['135'],['10:30-11:35'],5,1444-11-26,01:00 م - 04:00 م,['شايع وقيان زيد الدوسري']
204 ريض,المعادلات التفاضلية,5554,تمارين,ذكر,مغلقة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
204 ريض,المعادلات التفاضلية,5556,محاضرة,3,ذكر,['135'],['11:45-12:50'],5,1444-11-26,01:00 م - 04:00 م,['شريف صادق دشموخ']
204 ريض,المعادلات التفاضلية,80974,تمارين,ذكر,مفتوحة,"['3', '3']","['04:00-05:05', '05:15-06:20']",---,---,---,['لم يحدد من الكلية']
204 ريض,المعادلات التفاضلية,5558,تمارين,ذكر,مفتوحة,"['3', '3']","['04:00-05:05', '05:15-06:20']",---,---,---,['لم يحدد من الكلية']
204 ريض,المعادلات التفاضلية,5570,محاضرة,3,ذكر,"['24', '2']","['10:30-11:35', '11:45-12:50']",5,1444-11-26,01:00 م - 04:00 م,['شريف صادق دشموخ']
204 ريض,المعادلات التفاضلية,5572,تمارين,ذكر,مفتوحة,"['4', '4']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
204 ريض,المعادلات التفاضلية,17001,محاضرة,3,ذكر,['135'],['10:30-11:35'],5,1444-11-26,01:00 م - 04:00 م,['مسعود بونخل']
204 ريض,المعادلات التفاضلية,17002,تمارين,ذكر,مفتوحة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
204 ريض,المعادلات التفاضلية,82700,محاضرة,3,ذكر,"['35', '1']","['11:45-12:50', '11:45-12:50']",5,1444-11-26,01:00 م - 04:00 م,['السعيد عثمان مسلوب']
204 ريض,المعادلات التفاضلية,82701,تمارين,ذكر,مفتوحة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
204 ريض,المعادلات التفاضلية,82702,محاضرة,3,ذكر,['135'],['09:15-10:20'],5,1444-11-26,01:00 م - 04:00 م,['شعلان سعد سعيد القرنى']
204 ريض,المعادلات التفاضلية,82703,تمارين,ذكر,مفتوحة,"['3', '3']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
204 ريض,المعادلات التفاضلية,84930,محاضرة,3,ذكر,['135'],['11:45-12:50'],5,1444-11-26,01:00 م - 04:00 م,['مراد بن محمد بن سليمان']
204 ريض,المعادلات التفاضلية,84931,تمارين,ذكر,مفتوحة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),20134,محاضرة,4,ذكر,['135'],['08:00-09:05'],2,1444-11-23,08:00 ص - 11:00 ص,['مشعل عبيد صنت الحربى']
103 فيز,فيزياء عامة (1),20135,عملي,ذكر,مفتوحة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['عبدالمجيد عبدالرحمن عبدالعزيز الشميمري']
103 فيز,فيزياء عامة (1),74082,عملي,ذكر,مفتوحة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),81605,محاضرة,4,ذكر,['135'],['09:15-10:20'],2,1444-11-23,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),81607,عملي,ذكر,مغلقة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),81606,عملي,ذكر,مغلقة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),81608,محاضرة,4,ذكر,['135'],['10:30-11:35'],2,1444-11-23,08:00 ص - 11:00 ص,['مشعل عبيد صنت الحربى']
103 فيز,فيزياء عامة (1),81610,عملي,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),81609,عملي,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['محمد احمد عبداللطيف ابداح']
103 فيز,فيزياء عامة (1),81611,محاضرة,4,ذكر,['135'],['11:45-12:50'],2,1444-11-23,08:00 ص - 11:00 ص,['عبدالله محمد على الزير']
103 فيز,فيزياء عامة (1),81612,عملي,ذكر,مفتوحة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['طلال عبدالله خليف الشمرى']
103 فيز,فيزياء عامة (1),81613,عملي,ذكر,مفتوحة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),81614,محاضرة,4,ذكر,['135'],['09:15-10:20'],2,1444-11-23,08:00 ص - 11:00 ص,['زياد احمد على الاحمد']
103 فيز,فيزياء عامة (1),81616,عملي,ذكر,مفتوحة,"['3', '3']","['01:30-02:35', '02:45-03:50']",---,---,---,['عبدالمجيد عبدالرحمن عبدالعزيز الشميمري']
103 فيز,فيزياء عامة (1),81615,عملي,ذكر,مفتوحة,"['3', '3']","['01:30-02:35', '02:45-03:50']",---,---,---,['عبدالعزيز فهد محمد الفرهود']
103 فيز,فيزياء عامة (1),82634,محاضرة,4,ذكر,['135'],['08:00-09:05'],2,1444-11-23,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82636,عملي,ذكر,مغلقة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82635,عملي,ذكر,مغلقة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82637,محاضرة,4,ذكر,"['35', '1']","['09:15-10:20', '09:15-10:20']",2,1444-11-23,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82639,عملي,ذكر,مغلقة,"['4', '4']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82638,عملي,ذكر,مغلقة,"['4', '4']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82640,محاضرة,4,ذكر,['135'],['10:30-11:35'],2,1444-11-23,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82641,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82642,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82643,محاضرة,4,ذكر,['135'],['10:30-11:35'],2,1444-11-23,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82645,عملي,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
