course_code,course_name,section_number,course_type,course_hours,course_gender,course_day,course_time,final_exam_day,final_exam_date,final_exam_time,lecturer
491 نال,موضوعات مختارة فى نظم المعلومات,73346,محاضرة,3,ذكر,"['24', '2']","['01:30-02:35', '02:45-03:50']",3,1444-12-02,08:00 ص - 11:00 ص,['فيصل عبدالعزيز عبدالرحمن المسند']
227 عال,نظم التشغيل,12320,محاضرة,3,ذكر,"['2', '24']","['08:00-09:05', '09:15-10:20']",3,1444-11-24,01:00 م - 04:00 م,['مجدل سلطان مجدل بن سفران']
227 عال,نظم التشغيل,12321,تمارين,ذكر,مغلقة,['4'],['08:00-09:05'],---,---,---,['مجدل سلطان مجدل بن سفران']
227 عال,نظم التشغيل,12328,محاضرة,3,ذكر,"['1', '13']","['08:00-09:05', '09:15-10:20']",3,1444-11-24,01:00 م - 04:00 م,['محمد جاويد يوسف']
227 عال,نظم التشغيل,12329,تمارين,ذكر,مغلقة,['3'],['08:00-09:05'],---,---,---,['محمد جاويد يوسف']
227 عال,نظم التشغيل,35605,محاضرة,3,ذكر,"['4', '24']","['08:00-09:05', '09:15-10:20']",3,1444-11-24,01:00 م - 04:00 م,['فواز عبدالعزيز عبدالله السليمان']
227 عال,نظم التشغيل,35606,تمارين,ذكر,مغلقة,['2'],['08:00-09:05'],---,---,---,['محمد جاويد يوسف']
227 عال,نظم التشغيل,81787,محاضرة,3,ذكر,['135'],['09:15-10:20'],3,1444-11-24,01:00 م - 04:00 م,['احمد جعفر الفنوش الشبلي']
227 عال,نظم التشغيل,81788,تمارين,ذكر,مغلقة,['3'],['11:45-12:50'],---,---,---,['احمد جعفر الفنوش الشبلي']
227 عال,نظم التشغيل,81901,محاضرة,3,ذكر,"['2', '24']","['10:30-11:35', '11:45-12:50']",3,1444-11-24,01:00 م - 04:00 م,['فواز عبدالعزيز عبدالله السليمان']
227 عال,نظم التشغيل,81902,تمارين,ذكر,مغلقة,['4'],['10:30-11:35'],---,---,---,['محمد جاويد يوسف']
227 عال,نظم التشغيل,85788,محاضرة,3,ذكر,"['24', '4']","['10:30-11:35', '11:45-12:50']",3,1444-11-24,01:00 م - 04:00 م,['مجدل سلطان مجدل بن سفران']
227 عال,نظم التشغيل,85789,تمارين,ذكر,مغلقة,['2'],['11:45-12:50'],---,---,---,['مجدل سلطان مجدل بن سفران']
227 عال,نظم التشغيل,85790,محاضرة,3,ذكر,['135'],['10:30-11:35'],3,1444-11-24,01:00 م - 04:00 م,['محمد جاويد يوسف']
227 عال,نظم التشغيل,85791,تمارين,ذكر,مفتوحة,['3'],['11:45-12:50'],---,---,---,['محمد جاويد يوسف']
101 كيح,كيمياء حيوية عامة,4165,محاضرة,4,ذكر,['135'],['11:45-12:50'],3,1444-11-24,01:00 م - 04:00 م,['خالد عبدالرحمن منصور الحميميدي']
101 كيح,كيمياء حيوية عامة,72819,عملي,ذكر,مفتوحة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['فهد عبدالرحمن حمد بن شاهين']
101 كيح,كيمياء حيوية عامة,4168,عملي,ذكر,مفتوحة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['عبدالغني عبدالاله عبدالغني بن نفيسه']
101 كيح,كيمياء حيوية عامة,82060,محاضرة,4,ذكر,['135'],['08:00-09:05'],3,1444-11-24,01:00 م - 04:00 م,['عبدالعزيز محمد عبدالرحمن العمرى']
101 كيح,كيمياء حيوية عامة,82062,عملي,ذكر,مفتوحة,"['5', '5']","['10:30-11:35', '11:45-12:50']",---,---,---,['عبدالعزيز بن عبدالله بن محمد ال الدهيس العمري']
101 كيح,كيمياء حيوية عامة,82061,عملي,ذكر,مفتوحة,"['5', '5']","['10:30-11:35', '11:45-12:50']",---,---,---,['عبدالله بن عبدالرحمن بن عبدالله الضويلع']
101 كيح,كيمياء حيوية عامة,82123,محاضرة,4,ذكر,['135'],['10:30-11:35'],3,1444-11-24,01:00 م - 04:00 م,['محمد سمير عبدالعزيز الربع']
101 كيح,كيمياء حيوية عامة,82124,عملي,ذكر,مفتوحة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['فهد عبدالرحمن حمد بن شاهين']
101 كيح,كيمياء حيوية عامة,82125,عملي,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['عبدالغني عبدالاله عبدالغني بن نفيسه']
101 كيح,كيمياء حيوية عامة,82126,محاضرة,4,ذكر,['135'],['08:00-09:05'],3,1444-11-24,01:00 م - 04:00 م,['محمد سعد محمد داود']
101 كيح,كيمياء حيوية عامة,82128,عملي,ذكر,مفتوحة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['عبدالله بن عبدالرحمن بن عبدالله الضويلع']
101 كيح,كيمياء حيوية عامة,82127,عملي,ذكر,مفتوحة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['عبدالعزيز بن عبدالله بن محمد ال الدهيس العمري']
101 كيح,كيمياء حيوية عامة,87658,محاضرة,4,ذكر,"['2', '24']","['08:00-09:05', '09:15-10:20']",3,1444-11-24,01:00 م - 04:00 م,['فريد شكرى عطايا عطايا']
101 كيح,كيمياء حيوية عامة,87659,عملي,ذكر,مفتوحة,"['1', '1']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
101 كيح,كيمياء حيوية عامة,87660,عملي,ذكر,مفتوحة,"['1', '1']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
230 نال,اسس قواعد البيانات,12451,محاضرة,3,ذكر,"['4', '24']","['08:00-09:05', '09:15-10:20']",1,1444-11-29,08:00 ص - 11:00 ص,['يزيد ابراهيم عبدالعزيز العبدالكريم']
230 نال,اسس قواعد البيانات,12452,تمارين,ذكر,مغلقة,['2'],['08:00-09:05'],---,---,---,['عبدالعزيز عبدالرحمن عبدالعزيز الهدلق']
230 نال,اسس قواعد البيانات,14055,محاضرة,3,ذكر,"['24', '4']","['08:00-09:05', '09:15-10:20']",1,1444-11-29,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
230 نال,اسس قواعد البيانات,14056,تمارين,ذكر,مفتوحة,['2'],['09:15-10:20'],---,---,---,['عبدالعزيز عبدالرحمن عبدالعزيز الهدلق']
230 نال,اسس قواعد البيانات,35583,محاضرة,3,ذكر,"['4', '24']","['10:30-11:35', '11:45-12:50']",1,1444-11-29,08:00 ص - 11:00 ص,['يزيد ابراهيم عبدالعزيز العبدالكريم']
