course_code,course_name,section_number,course_type,course_hours,course_gender,course_day,course_time,final_exam_day,final_exam_date,final_exam_time,lecturer
254 ريض,الطرائق العددية,5582,محاضرة,3,ذكر,['135'],['08:00-09:05'],5,1444-12-04,01:00 م - 04:00 م,['رضوان بوت']
254 ريض,الطرائق العددية,20499,تمارين,ذكر,مفتوحة,"['1', '1']","['06:30-07:35', '07:45-08:50']",---,---,---,['لم يحدد من الكلية']
254 ريض,الطرائق العددية,81601,محاضرة,3,ذكر,['135'],['09:15-10:20'],5,1444-12-04,01:00 م - 04:00 م,['رضوان بوت']
254 ريض,الطرائق العددية,81602,تمارين,ذكر,مفتوحة,"['1', '1']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
254 ريض,الطرائق العددية,81603,محاضرة,3,ذكر,['135'],['10:30-11:35'],5,1444-12-04,01:00 م - 04:00 م,['محمد بن حمده عبدالواحد']
254 ريض,الطرائق العددية,81604,تمارين,ذكر,مفتوحة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
254 ريض,الطرائق العددية,82438,محاضرة,3,ذكر,"['2', '2', '4']","['08:00-09:05', '09:15-10:20', '09:15-10:20']",5,1444-12-04,01:00 م - 04:00 م,['عبدالرحمن مساعد سعيد الزهرانى']
254 ريض,الطرائق العددية,82439,تمارين,ذكر,مفتوحة,"['3', '3']","['04:00-05:05', '05:15-06:20']",---,---,---,['لم يحدد من الكلية']
254 ريض,الطرائق العددية,82440,محاضرة,3,ذكر,"['24', '2']","['10:30-11:35', '11:45-12:50']",5,1444-12-04,01:00 م - 04:00 م,['شاه محمد ديل كبير']
254 ريض,الطرائق العددية,82441,تمارين,ذكر,مفتوحة,"['3', '3']","['04:00-05:05', '05:15-06:20']",---,---,---,['لم يحدد من الكلية']
254 ريض,الطرائق العددية,82442,محاضرة,3,ذكر,['135'],['11:45-12:50'],5,1444-12-04,01:00 م - 04:00 م,['محمد بن حمده عبدالواحد']
254 ريض,الطرائق العددية,82443,تمارين,ذكر,مفتوحة,"['3', '3']","['04:00-05:05', '05:15-06:20']",---,---,---,['لم يحدد من الكلية']
254 ريض,الطرائق العددية,82734,محاضرة,3,ذكر,['135'],['02:45-03:50'],5,1444-12-04,01:00 م - 04:00 م,['رضوان بوت']
254 ريض,الطرائق العددية,82735,تمارين,ذكر,مفتوحة,"['4', '4']","['04:00-05:05', '05:15-06:20']",---,---,---,['لم يحدد من الكلية']
254 ريض,الطرائق العددية,87118,محاضرة,3,ذكر,['135'],['10:30-11:35'],5,1444-12-04,01:00 م - 04:00 م,['رضوان بوت']
254 ريض,الطرائق العددية,87119,تمارين,ذكر,مفتوحة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
227 عال,نظم التشغيل,12320,محاضرة,3,ذكر,"['2', '24']","['08:00-09:05', '09:15-10:20']",3,1444-11-24,01:00 م - 04:00 م,['مجدل سلطان مجدل بن سفران']
227 عال,نظم التشغيل,12321,تمارين,ذكر,مفتوحة,['4'],['08:00-09:05'],---,---,---,['مجدل سلطان مجدل بن سفران']
227 عال,نظم التشغيل,12328,محاضرة,3,ذكر,"['1', '13']","['08:00-09:05', '09:15-10:20']",3,1444-11-24,01:00 م - 04:00 م,['محمد جاويد يوسف']
227 عال,نظم التشغيل,12329,تمارين,ذكر,مفتوحة,['3'],['08:00-09:05'],---,---,---,['محمد جاويد يوسف']
227 عال,نظم التشغيل,35605,محاضرة,3,ذكر,"['4', '24']","['08:00-09:05', '09:15-10:20']",3,1444-11-24,01:00 م - 04:00 م,['فواز عبدالعزيز عبدالله السليمان']
227 عال,نظم التشغيل,35606,تمارين,ذكر,مفتوحة,['2'],['08:00-09:05'],---,---,---,['محمد جاويد يوسف']
227 عال,نظم التشغيل,81787,محاضرة,3,ذكر,['135'],['09:15-10:20'],3,1444-11-24,01:00 م - 04:00 م,['لم يحدد من الكلية']
227 عال,نظم التشغيل,81788,تمارين,ذكر,مغلقة,['3'],['11:45-12:50'],---,---,---,['لم يحدد من الكلية']
